Rank,Movies Name,Movies Year,Movies Rate,🔗Movies page site
Top rated movie #213,Ratatouille,((2007)),8.0,imdb.com/title/tt0382932/
Top rated movie #214,Platoon,((1986)),8.0,imdb.com/title/tt0091763/
Top rated movie #215,Spotlight,((2015)),8.0,imdb.com/title/tt1895587/
Top rated movie #216,Logan,((2017)),8.0,imdb.com/title/tt3315342/
Top rated movie #217,The Terminator,((1984)),8.0,imdb.com/title/tt0088247/
Top rated movie #218,Stand by Me,((1986)),8.0,imdb.com/title/tt0092005/
Top rated movie #219,Rush,((2013)),8.0,imdb.com/title/tt1979320/
Top rated movie #220,Network,((1976)),8.0,imdb.com/title/tt0074958/
Top rated movie #221,Before Sunset,((2004)),8.0,imdb.com/title/tt0381681/
Top rated movie #222,Into the Wild,((2007)),8.0,imdb.com/title/tt0758758/
Top rated movie #223,The Wizard of Oz,((1939)),8.0,imdb.com/title/tt0032138/
Top rated movie #224,The Best Years of Our Lives,((1946)),8.0,imdb.com/title/tt0036868/
Top rated movie #225,The Exorcist,((1973)),8.0,imdb.com/title/tt0070047/
Top rated movie #226,Groundhog Day,((1993)),8.0,imdb.com/title/tt0107048/
Top rated movie #227,The Incredibles,((2004)),8.0,imdb.com/title/tt0317705/
Top rated movie #228,To Be or Not to Be,((1942)),8.0,imdb.com/title/tt0035446/
Top rated movie #229,La haine,((1995)),8.0,imdb.com/title/tt0113247/
Top rated movie #230,Pirates of the Caribbean: The Curse of the Black Pearl,((2003)),8.0,imdb.com/title/tt0325980/
Top rated movie #231,Pather Panchali,((1955)),8.0,imdb.com/title/tt0048473/
Top rated movie #232,Hachi: A Dog's Tale,((2009)),8.0,imdb.com/title/tt1028532/
Top rated movie #233,La battaglia di Algeri,((1966)),8.0,imdb.com/title/tt0058946/
Top rated movie #234,The Grapes of Wrath,((1940)),8.0,imdb.com/title/tt0032551/
Top rated movie #235,Babam ve Oglum,((2005)),8.0,imdb.com/title/tt0476735/
Top rated movie #236,Amores perros,((2000)),8.0,imdb.com/title/tt0245712/
Top rated movie #237,Jai Bhim,((2021)),8.0,imdb.com/title/tt15097216/
Top rated movie #238,Rebecca,((1940)),8.0,imdb.com/title/tt0032976/
Top rated movie #239,Ah-ga-ssi,((2016)),8.0,imdb.com/title/tt4016934/
Top rated movie #240,Cool Hand Luke,((1967)),8.0,imdb.com/title/tt0061512/
Top rated movie #241,The Sound of Music,((1965)),8.0,imdb.com/title/tt0059742/
Top rated movie #242,It Happened One Night,((1934)),8.0,imdb.com/title/tt0025316/
Top rated movie #243,Les quatre cents coups,((1959)),8.0,imdb.com/title/tt0053198/
Top rated movie #244,Persona,((1966)),8.0,imdb.com/title/tt0060827/
Top rated movie #245,Life of Brian,((1979)),8.0,imdb.com/title/tt0079470/
Top rated movie #246,The Iron Giant,((1999)),8.0,imdb.com/title/tt0129167/
Top rated movie #247,The Help,((2011)),8.0,imdb.com/title/tt1454029/
Top rated movie #248,Aladdin,((1992)),8.0,imdb.com/title/tt0103639/
Top rated movie #249,Dances with Wolves,((1990)),8.0,imdb.com/title/tt0099348/
Top rated movie #250,Dersu Uzala,((1975)),8.0,imdb.com/title/tt0071411/
